organisation_name,organisation_slug,member_name,member_location,member_type,member_website
Association of Colleges (AoC),aoc,Abingdon and Witney College,South East,Member,http://www.abingdon-witney.ac.uk
Association of Colleges (AoC),aoc,Abingdon and Witney College,,Member,http://www.abingdon-witney.ac.uk
Association of Colleges (AoC),aoc,Abingdon and Witney College,South East,Member,http://www.abingdon-witney.ac.uk
Association of Colleges (AoC),aoc,Accrington and Rossendale College,North West,Member,http://www.accross.ac.uk
Association of Colleges (AoC),aoc,Activate Learning,South East,Member,http://www.activatelearning.ac.uk
Association of Colleges (AoC),aoc,Activate Learning,South East,Member,http://www.activatelearning.ac.uk
Association of Colleges (AoC),aoc,Activate Learning,South East,Member,http://www.activatelearning.ac.uk
Association of Colleges (AoC),aoc,Activate Learning,South East,Member,http://www.activatelearning.ac.uk
Association of Colleges (AoC),aoc,Ada National College for Digital Skills,Greater London,Member,https://www.ada.ac.uk
Association of Colleges (AoC),aoc,"Ada, the National College for Digital Skills",Greater London,Member,https://www.ada.ac.uk
Association of Colleges (AoC),aoc,Amersham and Wycombe College,South East,Member,http://www.amersham.ac.uk
Association of Colleges (AoC),aoc,Andover College,South East,Member,https://www.andover.ac.uk
Association of Colleges (AoC),aoc,Aquinas College,North West,Member,http://www.aquinas.ac.uk
Association of Colleges (AoC),aoc,Aquinas College,,Member,http://www.aquinas.ac.uk
Association of Colleges (AoC),aoc,Aquinas College,North West,Member,http://www.aquinas.ac.uk
Association of Colleges (AoC),aoc,Ashford College,South East,Member,https://ashford@eastkent.ac.uk
Association of Colleges (AoC),aoc,Ashton Sixth Form College,North West,Member,http://www.asfc.ac.uk
Association of Colleges (AoC),aoc,Askham Bryan College,Yorkshire & Humberside,Member,http://www.askham-bryan.ac.uk
Association of Colleges (AoC),aoc,Askham Bryan College,Yorkshire & Humberside,Member,http://www.askham-bryan.ac.uk
Association of Colleges (AoC),aoc,Banbury & Bicester College,South East,Member,https://www.activatelearning.ac.uk
Association of Colleges (AoC),aoc,Barking and Dagenham College,Greater London,Member,https://www.barkingdagenhamcollege.ac.uk
Association of Colleges (AoC),aoc,Barking and Dagenham College,Greater London,Member,https://www.barkingdagenhamcollege.ac.uk
Association of Colleges (AoC),aoc,Barking and Dagenham College,Greater London,Member,https://www.barkingdagenhamcollege.ac.uk
Association of Colleges (AoC),aoc,Barnet and Southgate College,Greater London,Member,http://www.barnetsouthgate.ac.uk
Association of Colleges (AoC),aoc,Barnet and Southgate College,Greater London,Member,http://www.barnetsouthgate.ac.uk
Association of Colleges (AoC),aoc,Barnfield College,East,Member,http://www.barnfield.ac.uk
Association of Colleges (AoC),aoc,Barnfield College,East,Member,http://www.barnfield.ac.uk
Association of Colleges (AoC),aoc,Barnsley College,Yorkshire & Humberside,Member,http://www.barnsley.ac.uk
Association of Colleges (AoC),aoc,Barrow Sixth Form College,North West,Member,https://www.furness.ac.uk/about/barrow-sixth-form-campus
Association of Colleges (AoC),aoc,Basingstoke College of Technology,South East,Member,http://www.bcot.ac.uk
Association of Colleges (AoC),aoc,Bath College,South West,Member,http://www.bathcollege.ac.uk
Association of Colleges (AoC),aoc,Beaumont College,North West,Member,http://www.beaumontcollege.ac.uk
Association of Colleges (AoC),aoc,Bedford College,East,Member,https://www.bedford.ac.uk
Association of Colleges (AoC),aoc,Bedford College,East,Member,https://www.bedford.ac.uk
Association of Colleges (AoC),aoc,Berkshire College of Agriculture,South East,Member,http://www.bca.ac.uk
Association of Colleges (AoC),aoc,Bexhill College,South East,Member,http://www.bexhillcollege.ac.uk
Association of Colleges (AoC),aoc,Bexley College,Greater London,Member,http://www.bexley.ac.uk
Association of Colleges (AoC),aoc,Bexley College,Greater London,Member,http://www.bexley.ac.uk
Association of Colleges (AoC),aoc,Bicton College,South West,Member,http://www.bicton.ac.uk
Association of Colleges (AoC),aoc,Birmingham Metropolitan College,West Midlands,Member,https://www.bmet.ac.uk
Association of Colleges (AoC),aoc,Birmingham Metropolitan College,West Midlands,Member,https://www.bmet.ac.uk
Association of Colleges (AoC),aoc,Bishop Auckland College,North East,Member,http://www.bacoll.ac.uk
Association of Colleges (AoC),aoc,Bishop Auckland College,North East,Member,http://www.bacoll.ac.uk
Association of Colleges (AoC),aoc,Bishop Burton College,Yorkshire & Humberside,Member,http://www.bishopburton.ac.uk
Association of Colleges (AoC),aoc,Bishop Burton College,Yorkshire & Humberside,Member,http://www.bishopburton.ac.uk
Association of Colleges (AoC),aoc,Bishop Burton College,Yorkshire & Humberside,Member,http://www.bishopburton.ac.uk
Association of Colleges (AoC),aoc,Blackburn College,North West,Member,http://www.blackburn.ac.uk
Association of Colleges (AoC),aoc,Blackpool and The Fylde College,North West,Member,http://www.blackpool.ac.uk
Association of Colleges (AoC),aoc,Blackpool and the Fylde College,North West,Member,http://www.blackpool.ac.uk
Association of Colleges (AoC),aoc,Bolton College,North West,Member,https://www.boltoncc.ac.uk
Association of Colleges (AoC),aoc,Bolton College,North West,Member,https://www.boltoncc.ac.uk
Association of Colleges (AoC),aoc,Bolton College,North West,Member,https://www.boltoncc.ac.uk
Association of Colleges (AoC),aoc,Bolton College,North West,Member,https://www.boltoncc.ac.uk
Association of Colleges (AoC),aoc,Boston College,East Midlands,Member,http://www.boston.ac.uk
Association of Colleges (AoC),aoc,Boston College,East Midlands,Member,http://www.boston.ac.uk
Association of Colleges (AoC),aoc,Bournemouth and Poole College,South West,Member,http://www.bpc.ac.uk
Association of Colleges (AoC),aoc,Bournemouth and Poole College,South West,Member,http://www.bpc.ac.uk
Association of Colleges (AoC),aoc,Bournville College,West Midlands,Member,http://www.bournville.ac.uk
Association of Colleges (AoC),aoc,Bracknell and Wokingham College,South East,Member,https://www.activatelearning.ac.uk
Association of Colleges (AoC),aoc,Bracknell and Wokingham College,South East,Member,https://www.activatelearning.ac.uk
Association of Colleges (AoC),aoc,Bradford College,Yorkshire & Humberside,Member,http://www.bradfordcollege.ac.uk
Association of Colleges (AoC),aoc,Bradford College,Yorkshire & Humberside,Member,http://www.bradfordcollege.ac.uk
Association of Colleges (AoC),aoc,Bradford College,Yorkshire & Humberside,Member,http://www.bradfordcollege.ac.uk
Association of Colleges (AoC),aoc,Bridge College,North West,Member,http://www.bridgecollege.ac.uk
Association of Colleges (AoC),aoc,Bridge College,North West,Member,http://www.bridgecollege.ac.uk
Association of Colleges (AoC),aoc,Brighton Hove & Sussex Sixth Form College (BHASVIC),South East,Member,http://www.bhasvic.ac.uk
Association of Colleges (AoC),aoc,Brighton Hove & Sussex Sixth Form College (BHASVIC),South East,Member,http://www.bhasvic.ac.uk
Association of Colleges (AoC),aoc,Brinsbury College,South East,Member,https://www.brinsbury.ac.uk
Association of Colleges (AoC),aoc,Broadstairs College,South East,Member,
Association of Colleges (AoC),aoc,Brockenhurst College,South East,Member,http://www.brock.ac.uk
Association of Colleges (AoC),aoc,Bromley College of Further and Higher Education,Greater London,Member,https://www.lsec.ac.uk
Association of Colleges (AoC),aoc,Bromley College of Further and Higher Education,,Member,https://www.lsec.ac.uk
Association of Colleges (AoC),aoc,Bromley College of Further and Higher Education,Greater London,Member,https://www.lsec.ac.uk
Association of Colleges (AoC),aoc,Brooklands Technical College,South East,Member,http://www.brooklands.ac.uk
Association of Colleges (AoC),aoc,Brooksby Melton College,East Midlands,Member,http://www.brooksbymelton.ac.uk
Association of Colleges (AoC),aoc,BSix Brooke House Sixth Form College,Greater London,Member,http://www.bsix.ac.uk
Association of Colleges (AoC),aoc,BSix Brooke House Sixth Form College,Greater London,Member,http://www.bsix.ac.uk
Association of Colleges (AoC),aoc,Buckinghamshire College Group,South East,Member,http://www.buckscollegegroup.ac.uk
Association of Colleges (AoC),aoc,Burnley College,North West,Member,http://www.burnley.ac.uk
Association of Colleges (AoC),aoc,Burnley College,North West,Member,http://www.burnley.ac.uk
Association of Colleges (AoC),aoc,Burton and South Derbyshire College,West Midlands,Member,http://www.bsdc.ac.uk
Association of Colleges (AoC),aoc,Burton and South Derbyshire College,West Midlands,Member,http://www.bsdc.ac.uk
Association of Colleges (AoC),aoc,Bury College,North West,Member,http://www.burycollege.ac.uk
Association of Colleges (AoC),aoc,Bury College,North West,Member,http://www.burycollege.ac.uk
Association of Colleges (AoC),aoc,Cadbury Sixth Form College,West Midlands,Member,https://www.cadcol.ac.uk
Association of Colleges (AoC),aoc,Calderdale College,Yorkshire & Humberside,Member,http://www.calderdale.ac.uk
Association of Colleges (AoC),aoc,Calderdale College,Yorkshire & Humberside,Member,http://www.calderdale.ac.uk
Association of Colleges (AoC),aoc,Cambridge Regional College,East,Member,http://www.camre.ac.uk
Association of Colleges (AoC),aoc,Canterbury College,South East,Member,https://www.ekcgroup.ac.uk/colleges/canterbury-college
Association of Colleges (AoC),aoc,Canterbury College,South East,Member,https://www.ekcgroup.ac.uk/colleges/canterbury-college
Association of Colleges (AoC),aoc,Capel Manor College,Greater London,Member,https://www.capel.ac.uk
Association of Colleges (AoC),aoc,Capel Manor College,Greater London,Member,https://www.capel.ac.uk
Association of Colleges (AoC),aoc,Carlisle College,North West,Member,http://www.carlisle.ac.uk
Association of Colleges (AoC),aoc,Carshalton College,Greater London,Member,http://www.carshalton.ac.uk
Association of Colleges (AoC),aoc,Carshalton College,Greater London,Member,http://www.carshalton.ac.uk
Association of Colleges (AoC),aoc,Central Bedfordshire College,East,Member,https://www.centralbeds.ac.uk
Association of Colleges (AoC),aoc,Central College Nottingham,East Midlands,Member,https://www.nottinghamcollege.ac.uk
Association of Colleges (AoC),aoc,Cheadle and Marple Sixth Form College,North West,Member,http://www.camsfc.ac.uk
Association of Colleges (AoC),aoc,Chelmsford College,East,Member,https://www.chelmsford.ac.uk
Association of Colleges (AoC),aoc,Chelmsford College,East,Member,https://www.chelmsford.ac.uk
Association of Colleges (AoC),aoc,Cheshire College South & West,North West,Member,https://www.ccsw.ac.uk
Association of Colleges (AoC),aoc,Chesterfield College,East Midlands,Member,http://www.chesterfield.ac.uk
Association of Colleges (AoC),aoc,Chichester College Group,South East,Member,https://www.chigroup.ac.uk/
Association of Colleges (AoC),aoc,Christ the King Sixth Form College,Greater London,Member,http://www.ctksfc.ac.uk
Association of Colleges (AoC),aoc,Christ the King Sixth Form College,Greater London,Member,http://www.ctksfc.ac.uk
Association of Colleges (AoC),aoc,Christ the King Sixth Form College,Greater London,Member,http://www.ctksfc.ac.uk
Association of Colleges (AoC),aoc,City and Islington College,Greater London,Member,http://www.candi.ac.uk
Association of Colleges (AoC),aoc,City College Norwich,East,Member,http://www.ccn.ac.uk
Association of Colleges (AoC),aoc,City College Plymouth,South West,Member,http://www.cityplym.ac.uk
Association of Colleges (AoC),aoc,City College Southampton,South East,Member,http://www.southampton-city.ac.uk
Association of Colleges (AoC),aoc,City Lit,Greater London,Member,http://www.citylit.ac.uk
Association of Colleges (AoC),aoc,City Lit,Greater London,Member,http://www.citylit.ac.uk
Association of Colleges (AoC),aoc,City of Bristol College,South West,Member,http://www.cityofbristol.ac.uk
Association of Colleges (AoC),aoc,City of Oxford College,South East,Member,https://www.activatelearning.ac.uk
Association of Colleges (AoC),aoc,City of Portsmouth College,South East,Member,
Association of Colleges (AoC),aoc,City of Westminster College,Greater London,Member,https://www.cwc.ac.uk
Association of Colleges (AoC),aoc,City of Westminster College,Greater London,Member,https://www.cwc.ac.uk
Association of Colleges (AoC),aoc,City of Wolverhampton College,West Midlands,Member,https://www.wolvcoll.ac.uk
Association of Colleges (AoC),aoc,Coastland College,South West,Member,https://www.coastland.ac.uk/
Association of Colleges (AoC),aoc,Colchester Institute,East,Member,http://www.colchester.ac.uk
Association of Colleges (AoC),aoc,Colchester Institute,East,Member,http://www.colchester.ac.uk
Association of Colleges (AoC),aoc,Coleg Cambria,North West,Member,https://www.cambria.ac.uk
Association of Colleges (AoC),aoc,Coleg Cambria,North West,Member,https://www.cambria.ac.uk
Association of Colleges (AoC),aoc,College of North West London,Greater London,Member,http://www.cnwl.ac.uk
Association of Colleges (AoC),aoc,College of North West London,Greater London,Member,http://www.cnwl.ac.uk
Association of Colleges (AoC),aoc,Communication Specialist College Doncaster,Yorkshire & Humberside,Member,https://www.deaf-trust.co.uk
Association of Colleges (AoC),aoc,Coulsdon Sixth Form College,Greater London,Member,http://www.coulsdon.ac.uk
Association of Colleges (AoC),aoc,Coulsdon Sixth Form College,Greater London,Member,http://www.coulsdon.ac.uk
Association of Colleges (AoC),aoc,Coventry College,West Midlands,Member,http://www.coventrycollege.ac.uk
Association of Colleges (AoC),aoc,Coventry College,West Midlands,Member,http://www.coventrycollege.ac.uk
Association of Colleges (AoC),aoc,Craven College,Yorkshire & Humberside,Member,http://www.craven-college.ac.uk
Association of Colleges (AoC),aoc,Craven College,Yorkshire & Humberside,Member,http://www.craven-college.ac.uk
Association of Colleges (AoC),aoc,Crawley College,South East,Member,https://www.crawley.ac.uk
Association of Colleges (AoC),aoc,Croydon College,Greater London,Member,http://www.croydon.ac.uk
Association of Colleges (AoC),aoc,Croydon College,Greater London,Member,http://www.croydon.ac.uk
Association of Colleges (AoC),aoc,Darlington College,North East,Member,http://www.darlington.ac.uk
Association of Colleges (AoC),aoc,Dearne Valley College,Yorkshire & Humberside,Member,http://www.dearne-coll.ac.uk
Association of Colleges (AoC),aoc,Derby College (DCG),East Midlands,Member,http://www.derby-college.ac.uk
Association of Colleges (AoC),aoc,Derby College (DCG),East Midlands,Member,http://www.derby-college.ac.uk
Association of Colleges (AoC),aoc,Derwen College,West Midlands,Member,http://www.derwen.ac.uk
Association of Colleges (AoC),aoc,Derwentside College,North East,Member,http://www.derwentside.ac.uk
Association of Colleges (AoC),aoc,DN Colleges Group,Yorkshire & Humberside,Member,http://www.dncolleges.ac.uk
Association of Colleges (AoC),aoc,Doncaster College,Yorkshire & Humberside,Member,http://www.don.ac.uk
Association of Colleges (AoC),aoc,Dover Technical College,South East,Member,https://www.ekcgroup.ac.uk/colleges/dover-technical-college
Association of Colleges (AoC),aoc,Duchy College,South West,Member,https://www.duchy.ac.uk
Association of Colleges (AoC),aoc,Dudley College of Technology,West Midlands,Member,http://www.dudleycol.ac.uk
Association of Colleges (AoC),aoc,Dudley College of Technology,West Midlands,Member,http://www.dudleycol.ac.uk
Association of Colleges (AoC),aoc,East Coast College,East,Member,https://www.eastcoast.ac.uk
Association of Colleges (AoC),aoc,East Coast College,East,Member,https://www.eastcoast.ac.uk
Association of Colleges (AoC),aoc,East Coast College,East,Member,https://www.eastcoast.ac.uk
Association of Colleges (AoC),aoc,East Durham College,North East,Member,http://www.eastdurham.ac.uk
Association of Colleges (AoC),aoc,East Riding College,Yorkshire & Humberside,Member,http://www.eastridingcollege.ac.uk
Association of Colleges (AoC),aoc,East Surrey College,South East,Member,http://www.esc.ac.uk
Association of Colleges (AoC),aoc,East Sussex College Group,South East,Member,https://www.escg.ac.uk
Association of Colleges (AoC),aoc,East Sussex College Group,South East,Member,https://www.escg.ac.uk
Association of Colleges (AoC),aoc,Eastleigh College,South East,Member,http://www.eastleigh.ac.uk
Association of Colleges (AoC),aoc,Easton College,East,Member,https://www.easton.ac.uk
Association of Colleges (AoC),aoc,Edinburgh College,Scotland,Member,https://www.edinburghcollege.ac.uk
Association of Colleges (AoC),aoc,EKC Group,South East,Member,https://www.ekcgroup.ac.uk
Association of Colleges (AoC),aoc,EKC Group,South East,Member,https://www.ekcgroup.ac.uk
Association of Colleges (AoC),aoc,Epping Forest College,Greater London,Member,https://www.ncclondon.ac.uk/epping-forest-campus
Association of Colleges (AoC),aoc,Exeter College,South West,Member,http://www.exe-coll.ac.uk
Association of Colleges (AoC),aoc,Falmouth Marine School,South West,Member,https://www.falmouthmarineschool.ac.uk
Association of Colleges (AoC),aoc,Farnborough College of Technology,South East,Member,https://www.farn-ct.ac.uk
Association of Colleges (AoC),aoc,Farnham College,South East,Member,https://www.farnham.ac.uk
Association of Colleges (AoC),aoc,Fircroft College of Adult Education,West Midlands,Member,http://www.fircroft.ac.uk
Association of Colleges (AoC),aoc,Fircroft College of Adult Education,West Midlands,Member,http://www.fircroft.ac.uk
Association of Colleges (AoC),aoc,Folkestone College,South East,Member,https://www.ekcgroup.ac.uk/colleges/folkestone-college
Association of Colleges (AoC),aoc,Furness College,North West,Member,http://www.furness.ac.uk
Association of Colleges (AoC),aoc,Furness College,North West,Member,http://www.furness.ac.uk
Association of Colleges (AoC),aoc,Gateshead College,North East,Member,http://www.gateshead.ac.uk
Association of Colleges (AoC),aoc,Gateshead College,North East,Member,http://www.gateshead.ac.uk
Association of Colleges (AoC),aoc,Glasgow Clyde College,Scotland,Member,https://www.glasgowclyde.ac.uk
Association of Colleges (AoC),aoc,Glasgow Clyde College,Scotland,Member,https://www.glasgowclyde.ac.uk
Association of Colleges (AoC),aoc,Gloucestershire College,South West,Member,http://www.gloscol.ac.uk
Association of Colleges (AoC),aoc,Gloucestershire College,South West,Member,http://www.gloscol.ac.uk
Association of Colleges (AoC),aoc,Gloucestershire College,South West,Member,http://www.gloscol.ac.uk
Association of Colleges (AoC),aoc,Gloucestershire College,South West,Member,http://www.gloscol.ac.uk
Association of Colleges (AoC),aoc,Goole College,Yorkshire & Humberside,Member,https://www.goole-college.ac.uk
Association of Colleges (AoC),aoc,Grantham College,East Midlands,Member,http://www.grantham.ac.uk
Association of Colleges (AoC),aoc,Greater Brighton Metropolitan College,South East,Member,http://www.gbmc.ac.uk
Association of Colleges (AoC),aoc,Greater Brighton Metropolitan College,South East,Member,http://www.gbmc.ac.uk
Association of Colleges (AoC),aoc,Greenwich Community College,Greater London,Member,http://www.gcc.ac.uk
Association of Colleges (AoC),aoc,Grimsby Institute of Further & Higher Education,Yorkshire & Humberside,Member,http://www.grimsby.ac.uk
Association of Colleges (AoC),aoc,Guildford College,South East,Member,http://www.guildford.ac.uk
Association of Colleges (AoC),aoc,Hackney Campus,Greater London,Member,https://www.ncclondon.ac.uk/hackney-campus
Association of Colleges (AoC),aoc,Hackney Campus,Greater London,Member,https://www.ncclondon.ac.uk/hackney-campus
