organisation_slug,organisation_name,member_name,member_location,member_type,member_website,source_url
aoc,Association of Colleges (AoC),Abingdon and Witney College,South East,Member,http://www.abingdon-witney.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Abingdon and Witney College,,Member,http://www.abingdon-witney.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Abingdon and Witney College,South East,Member,http://www.abingdon-witney.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Accrington and Rossendale College,North West,Member,http://www.accross.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Activate Learning,South East,Member,http://www.activatelearning.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Activate Learning,South East,Member,http://www.activatelearning.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Activate Learning,South East,Member,http://www.activatelearning.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Activate Learning,South East,Member,http://www.activatelearning.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Ada National College for Digital Skills,Greater London,Member,https://www.ada.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),"Ada, the National College for Digital Skills",Greater London,Member,https://www.ada.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Amersham and Wycombe College,South East,Member,http://www.amersham.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Andover College,South East,Member,https://www.andover.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Aquinas College,North West,Member,http://www.aquinas.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Aquinas College,,Member,http://www.aquinas.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Aquinas College,North West,Member,http://www.aquinas.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
aoc,Association of Colleges (AoC),Ashford College,South East,Member,https://ashford@eastkent.ac.uk,https://www.aoc.co.uk/aoc/ajax/interactive-map.json
